brms_rider_id,birth,delivery_method,first_available_date,business_start_day,is_recom,insurance_type,gender,recommender_rider_account_id,rider_no,수행건수,실제수행기간,최다수행시각,최다수행시각.1,평일/주말선호,2순위평일/주말,최다수행요일,2순위수행요일,최다기상타입,주요수행service_type,주요수행allocated_type,주요수행method,최다수행전달거리,2순위수행전달거리,기본배달비_중간값,총배달비_중간값,last_working_day,not_working,첫운행이후,미운행기간,첫운행이후기간,outcome
C1C89103F478428E6FD86089A6BA14D13A3188833BBE97BF6F335418FFBBEE53,1980,BIKE,2023.8.4,2023.8.5,0,BIKE_ON_DEMAND_DB,MAN,NA,C1C89103F478428E6FD86089A6BA14D13A3188833BBE97BF6F335418FFBBEE53,90,4,13_17,11_13,WEEKEND,WEEKDAY,SUN,MON,1,SINGLE,1,BIKE,1500,2500.0,3930,5520,2023.10.6,7,69,10일 이하,61일 이상,0
C1C8C0965D65DC15ACAA63C51DD2BD29C2123FABABB2DD0D8AAE473D36356B01,1990,BIKE,2023.8.19,2023.8.20,1,BIKE_ON_DEMAND_DB,MAN,62618B53A9715C4B37672B1E05834BFD9E9A857319CB18AD37A70EA7D3A93070,C1C8C0965D65DC15ACAA63C51DD2BD29C2123FABABB2DD0D8AAE473D36356B01,18,3,13_17,11_13,WEEKDAY,WEEKEND,THU,SUN,0,SINGLE,1,BIKE,2500,1000.0,3900,5100,2023.9.28,15,54,20일 이하,60일 이하,0
C1C978C9C050E5C6A2876A0EE42196339D9F38EA81EE83274165BA6C24C5ED57,1960,CAR,2023.10.6,2023.10.7,0,CAR_ON_DEMAND,MAN,NA,C1C978C9C050E5C6A2876A0EE42196339D9F38EA81EE83274165BA6C24C5ED57,2,2,20_26,NA,WEEKEND,NA,SUN,NA,0,SINGLE,0,CAR,2500,NA,4300,4660,2023.10.8,5,6,10일 이하,10일 이하,0
C1CDA5E9282A935E82A33BE6F449B168742285D6175DCCA04F060A2C4037C0B8,1990,BIKE,2023.9.1,2023.9.1,1,BIKE_ON_DEMAND_DB,MAN,1B9652C63E9D5A7215D214B5C7BC173B7138653E72E4115FFCC13A165D3087A0,C1CDA5E9282A935E82A33BE6F449B168742285D6175DCCA04F060A2C4037C0B8,114,7,17_20,11_13,WEEKDAY,WEEKEND,TUE,WED,0,SINGLE,1,BIKE,2500,1500.0,3924,4795,2023.10.10,3,42,10일 이하,50일 이하,0
C1D1583B07A9EADE6407811A6AA3E6A32BA28833D69A847234BCEE54EC875A6E,1990,THROTTLE_BICYCLES,2023.8.10,2023.8.11,1,ETC_ON_DEMAND,MAN,DF1D3CBB2A722AD4CEDE8A888880118E68E4D10B84386C6306CEA9F0E500373A,C1D1583B07A9EADE6407811A6AA3E6A32BA28833D69A847234BCEE54EC875A6E,1,1,11_13,NA,WEEKEND,NA,FRI,NA,1,SINGLE,0,THROTTLE_BICYCLES,1500,NA,3500,4500,2023.8.11,63,63,61일 이상,61일 이상,1
C1D224FDF4D486A46037D201E1256FC2C872F72DC26DAE450FCFAA356B376E0A,1970,CAR,2023.9.21,2023.10.3,0,CAR_ON_DEMAND,MAN,NA,C1D224FDF4D486A46037D201E1256FC2C872F72DC26DAE450FCFAA356B376E0A,97,7,20_26,17_20,WEEKEND,WEEKDAY,WED,SAT,0,SINGLE,1,CAR,1500,2000.0,3574,4538,2023.10.9,4,10,10일 이하,10일 이하,0
C1D3905B961D08D52111B845CD8E22F35F5ACC0F5750A70677FB24D63D05FDB4,1970,CAR,2023.9.6,2023.9.8,1,CAR_ON_DEMAND,WOMAN,A1E1156092F2F945FC642537C418E9145F4335073BEADD313DC6F126CC2ACA68,C1D3905B961D08D52111B845CD8E22F35F5ACC0F5750A70677FB24D63D05FDB4,2,2,17_20,NA,WEEKEND,NA,SUN,NA,0,SINGLE,1,CAR,3000,NA,4260,7660,2023.9.10,33,35,40일 이하,40일 이하,1
C1E3577E81496F09E21D7DE4C8267ADAF7495AFF02964FF46542791F454578EE,2000,GENERAL_BICYCLES,2023.8.23,2023.8.24,0,ETC_ON_DEMAND,WOMAN,NA,C1E3577E81496F09E21D7DE4C8267ADAF7495AFF02964FF46542791F454578EE,5,2,20_26,NA,WEEKDAY,NA,MON,THU,0,SINGLE,0,PAS_BICYCLES,2000,500.0,3200,3360,2023.8.28,46,50,50일 이하,50일 이하,1
C1EB094FFD6F977E7BE0033AD0F9EE2A89CBF10FE5AEFEAAC9A7661E37E5CD22,1980,BIKE,2023.9.9,2023.9.10,1,BIKE_ON_DEMAND_DB,MAN,34D8D88686BA5AEA737DBF8A98B493A76AB0AD649E5B77B6A9AA01CCF2F59458,C1EB094FFD6F977E7BE0033AD0F9EE2A89CBF10FE5AEFEAAC9A7661E37E5CD22,29,4,20_26,11_13,WEEKDAY,WEEKEND,THU,MON,0,SINGLE,1,BIKE,1500,500.0,3580,4060,2023.10.10,3,33,10일 이하,40일 이하,0
C1F425B54D17ABCE54D9182918A41715B90424724190F2B6E3DA59FD37AD0991,1980,BIKE,2023.8.24,2023.8.26,1,BIKE_ON_DEMAND_DB,MAN,7C62830E86C5C98178AE468935C3FFB0877784BEC838466AF347B0BC4E6E2009,C1F425B54D17ABCE54D9182918A41715B90424724190F2B6E3DA59FD37AD0991,68,7,17_20,13_17,WEEKDAY,WEEKEND,SUN,MON,0,SINGLE,1,BIKE,1500,4500.0,4380,6400,2023.9.15,28,48,30일 이하,50일 이하,0
