"shop_no","addr","floor","rgn1_nm","rgn2_nm","rgn3_nm","shop_category","latitude","longitude","PICK","건물용도명_2"
13545415,"서울특별시 서초구 방배동 912-9",1,"서울특별시","서초구","방배동","BAEKBAN",37.4815755,126.9964385,1,NA
13549676,"서울특별시 서초구 서초동 1486-7",1,"서울특별시","서초구","서초동","SNACK",37.483286,127.00854,1,"일반상점"
13551385,"서울특별시 서초구 반포동 701-21",0,"서울특별시","서초구","반포동","CAFE",37.509512,127.018177,1,NA
13557467,"서울특별시 서초구 서초동 1443-17",1,"서울특별시","서초구","서초동","CAFE",37.48565879,127.0208528,1,NA
13559824,"서울특별시 서초구 반포동 68-1",-1,"서울특별시","서초구","반포동","CAFE",37.4997401,126.9989655,1,NA
14142141,"서울특별시 서초구 서초대로 272",1,"서울특별시","서초구","서초동","ZZIM_TANG",37.49271336,127.0115757,1,NA
14169164,"서울특별시 서초구 바우뫼로 218",1,"서울특별시","서초구","양재동","PIZZA",37.4810486,127.0424065,1,"업무시설"
14169510,"서울특별시 서초구 동광로 11",1,"서울특별시","서초구","방배동","CAFE",37.49101863,126.9841893,1,"일반상점"
14177216,"서울특별시 서초구 서초대로46길 99",2,"서울특별시","서초구","서초동","JAPANESE",37.49015814,127.0134644,1,"일반음식점"
14211364,"서울특별시 서초구 서초대로 350",-1,"서울특별시","서초구","서초동","MEAT",37.495193,127.019841,1,"NA"
14222426,"서울특별시 서초구 반포동 118-3",1,"서울특별시","서초구","반포동","WESTERN",37.50448971,127.0078257,1,"자동차관련시설"
14223009,"서울특별시 서초구 서초동 1682",-1,"서울특별시","서초구","서초동","CAFE",37.49879612,127.0186026,1,"아파트"
14226552,"서울특별시 서초구 서초동 1599-2",1,"서울특별시","서초구","서초동","CAFE",37.486916,127.014508,1,"업무시설"
14239220,"서울특별시 서초구 반포동 709",1,"서울특별시","서초구","반포동","MEAT",37.50957266,127.0197689,1,"일반상점"
14247254,"서울특별시 서초구 반포동 740-17",1,"서울특별시","서초구","반포동","ZZIM_TANG",37.50435108,127.0215189,1,"근린생활시설"
14252703,"서울특별시 서초구 방배동 760-2",1,"서울특별시","서초구","방배동","ZZIM_TANG",37.49565701,126.9858835,1,"일반음식점"
14253726,"서울특별시 서초구 반포동 724-14",1,"서울특별시","서초구","반포동","CAFE",37.50829507,127.0216854,1,"근린생활시설"
14274840,"서울특별시 서초구 방배동 1427",1,"서울특별시","서초구","방배동","CAFE",37.4872135,126.9837728,1,"근린생활시설"
14277638,"서울특별시 서초구 서초동 1358-1",1,"서울특별시","서초구","서초동","CAFE",37.48729768,127.0310463,1,"일반음식점"
10735210,"서울특별시 서초구 서초동",0,"서울특별시","서초구","서초동","WESTERN",37.4948162,127.0186113,1,NA
10834451,"서울특별시 서초구 서초동 1715-9",0,"서울특별시","서초구","서초동","CAFE",37.49379436,127.0131129,1,"업무시설"
10864924,"서울특별시 서초구 서초동 1669-4",1,"서울특별시","서초구","서초동","BAEKBAN",37.49293564,127.0162974,1,"업무시설"
13274824,"서울특별시 서초구 서초중앙로 58",-1,"서울특별시","서초구","서초동","CAFE",37.48713075,127.0155755,1,"업무시설"
13295937,"서울특별시 서초구 반포동 18-3",1,"서울특별시","서초구","반포동","BAEKBAN",37.50442081,127.0008156,1,"기타시설"
13356255,"서울특별시 서초구 서초동 1569-9",1,"서울특별시","서초구","서초동","JAPANESE",37.49099136,127.0126867,1,"일반상점"
13411297,"서울특별시 서초구 서운로 226",-1,"서울특별시","서초구","서초동","BURGER",37.503129,127.02163,1,"업무시설"
13419169,"서울특별시 서초구 방배동 880-14",2,"서울특별시","서초구","방배동","WESTERN",37.48860245,126.995855,1,NA
13428067,"서울특별시 서초구 서초동 1713-4",1,"서울특별시","서초구","서초동","BAEKBAN",37.49424098,127.01252,1,NA
13456654,"서울특별시 서초구 양재동 8-6",2,"서울특별시","서초구","양재동","JOKBAL",37.48379821,127.0381846,1,"공동주택"
13484021,"서울특별시 서초구 잠원동 42-7",1,"서울특별시","서초구","잠원동","CHINESE",37.51096137,127.0184356,1,"일반상점"
13491662,"서울특별시 서초구 서초동 1571-15",2,"서울특별시","서초구","서초동","CHINESE",37.49249118,127.0124645,1,"일반음식점"
13493723,"서울특별시 서초구 방배동 811-15",1,"서울특별시","서초구","방배동","CHICKEN",37.49154647,126.9915775,1,"교육시설"
13497361,"서울특별시 서초구 양재동 110-10",0,"서울특별시","서초구","양재동","CAFE",37.47704899,127.0378793,1,"일반상점"
13499032,"서울특별시 서초구 서초동 1321-6",-1,"서울특별시","서초구","서초동","ZZIM_TANG",37.49599101,127.025241,1,"아파트"
13500629,"서울특별시 서초구 서초대로73길 12",2,"서울특별시","서초구","서초동","ASIAN",37.49854627,127.0257131,1,"NA"
14158066,"서울특별시 서초구 반포대로28길 16",1,"서울특별시","서초구","서초동","JAPANESE",37.49046359,127.0095204,1,"근린생활시설"
14183582,"서울특별시 서초구 강남대로 315",1,"서울특별시","서초구","서초동","CAFE",37.49110277,127.0302684,1,"업무시설"
14236667,"서울특별시 서초구 서초동 1678-2",-1,"서울특별시","서초구","서초동","WESTERN",37.49518545,127.0198248,1,"NA"
14246946,"서울특별시 서초구 반포동 92-14",1,"서울특별시","서초구","반포동","CAFE",37.49899018,126.9985211,1,"일반상점"
14263573,"서울특별시 서초구 방배동 455-15",1,"서울특별시","서초구","방배동","CAFE",37.48074202,126.9832452,1,"업무시설"
14275681,"서울특별시 서초구 방배동 3001-2",1,"서울특별시","서초구","방배동","BAEKBAN",37.48601919,126.9830784,1,"아파트"
10741098,"서울특별시 서초구 서초동",0,"서울특별시","서초구","서초동","CAFE",37.4916322,127.0290102,1,NA
10753769,"서울특별시 서초구 방배동 908-8",-1,"서울특별시","서초구","방배동","MEAT",37.48232543,126.9973828,1,"의료시설"
10771224,"서울특별시 서초구 방배동 444-3",4,"서울특별시","서초구","방배동","JAPANESE",37.4776551,126.9822232,1,"아파트"
13784842,"서울특별시 서초구 강남대로91길 16",0,"서울특별시","서초구","잠원동","BAEKBAN",37.5121557,127.0197966,1,"교육시설"
13799051,"서울특별시 서초구 서초대로25길 93",1,"서울특별시","서초구","방배동","CAFE",37.49171313,126.9918553,1,"공동주택"
13813922,"서울특별시 서초구 강남대로 545-15",1,"서울특별시","서초구","반포동","WESTERN",37.51015594,127.020491,1,"업무시설"
13842496,"서울특별시 서초구 서초중앙로22길 25",1,"서울특별시","서초구","서초동","CHICKEN",37.49346335,127.0154086,1,"아파트"
13843023,"서울특별시 서초구 신반포로 지하 200",-1,"서울특별시","서초구","잠원동","CAFE",37.50621168,127.0050481,1,"NA"
13857810,"서울특별시 서초구 동산로 3",1,"서울특별시","서초구","양재동","CAFE",37.46907773,127.0402682,1,NA
13874498,"서울특별시 서초구 청계산로 10",1,"서울특별시","서초구","양재동","PIZZA",37.46296739,127.0434347,1,NA
13898801,"서울특별시 서초구 도구로 119-2",-1,"서울특별시","서초구","방배동","MEAT",37.487222,126.985844,1,"일반상점"
13902872,"서울특별시 서초구 서운로 138",-1,"서울특별시","서초구","서초동","MEAT",37.49599101,127.025241,1,"아파트"
13929845,"서울특별시 서초구 서초대로64길 41-4",3,"서울특별시","서초구","서초동","CAFE",37.49379675,127.0213803,1,"업무시설"
13935658,"서울특별시 서초구 서초대로75길 34",3,"서울특별시","서초구","서초동","JAPANESE",37.50057381,127.0251853,1,NA
13946942,"서울특별시 서초구 서초대로 347",-1,"서울특별시","서초구","서초동","CAFE",37.4956576,127.0192415,1,"업무시설"
13971098,"서울특별시 서초구 방배천로2안길 110",1,"서울특별시","서초구","방배동","CAFE",37.48182525,126.9842173,1,"공동주택"
13971518,"서울특별시 서초구 서초중앙로 18",-1,"서울특별시","서초구","서초동","SNACK",37.48404781,127.0173532,1,"아파트"
13986165,"서울특별시 서초구 서초대로40길 77",-1,"서울특별시","서초구","서초동","JOKBAL",37.48824161,127.0087427,1,"일반상점"
13986518,"서울특별시 서초구 신반포로47길 18-3",1,"서울특별시","서초구","잠원동","MEAT",37.5116002,127.0194911,1,"일반음식점"
14031564,"서울특별시 서초구 남부순환로350길 17",0,"서울특별시","서초구","양재동","MEAT",37.48402036,127.0358515,1,NA
14041199,"서울특별시 서초구 방배중앙로 19",1,"서울특별시","서초구","방배동","CAFE",37.48179762,126.9923833,1,NA
13357027,"서울특별시 서초구 반포동 746-9",1,"서울특별시","서초구","반포동","ZZIM_TANG",37.50376781,127.0211578,1,"근린생활시설"
13364383,"서울특별시 서초구 서초동 1459-8",-1,"서울특별시","서초구","서초동","CHINESE",37.48404772,127.0126314,1,NA
13384230,"서울특별시 서초구 양재동 230",1,"서울특별시","서초구","양재동","BAEKBAN",37.46277297,127.0438513,1,"일반상점"
13384705,"서울특별시 서초구 방배동 900-37",1,"서울특별시","서초구","방배동","CAFE",37.48629718,126.9967161,1,NA
13401930,"서울특별시 서초구 양재동 347",1,"서울특별시","서초구","양재동","BAEKBAN",37.46838341,127.0425457,1,NA
13431863,"서울특별시 서초구 잠원동 38-17",2,"서울특별시","서초구","잠원동","CHICKEN",37.51132246,127.0196022,1,"업무시설"
13436799,"서울특별시 서초구 반포동 710-10",1,"서울특별시","서초구","반포동","BAEKBAN",37.50946156,127.0194911,1,NA
13456771,"서울특별시 서초구 서초동 1557-22",-1,"서울특별시","서초구","서초동","JAPANESE",37.49138019,127.011659,1,"업무시설"
13484759,"서울특별시 서초구 서운로 220",1,"서울특별시","서초구","서초동","MEAT",37.50271239,127.0217411,1,"근린생활시설"
13492080,"서울특별시 서초구 서초동 1359-43",1,"서울특별시","서초구","서초동","SNACK",37.48629776,127.0294631,1,"교육시설"
13501816,"서울특별시 서초구 서초동 1643-32",-1,"서울특별시","서초구","서초동","CAFE",37.49240798,127.0190472,1,NA
13507288,"서울특별시 서초구 서운로 138",-1,"서울특별시","서초구","서초동","BAEKBAN",37.49599101,127.025241,1,"아파트"
13510452,"서울특별시 서초구 양재동 277-6",1,"서울특별시","서초구","양재동","CAFE",37.47571596,127.0461563,1,NA
13514252,"서울특별시 서초구 방배동 1461",-1,"서울특별시","서초구","방배동","CHINESE",37.48726904,126.9832451,1,"일반음식점"
13524363,"서울특별시 서초구 방배동 813-6",1,"서울특별시","서초구","방배동","JAPANESE",37.49237969,126.9903276,1,"의료시설"
13527334,"서울특별시 서초구 잠원동 40-4",-1,"서울특별시","서초구","잠원동","CAFE",37.51093361,127.0194355,1,"일반음식점"
13529687,"서울특별시 서초구 서초동 1336",-1,"서울특별시","서초구","서초동","CAFE",37.49171848,127.0269538,1,NA
13533942,"서울특별시 서초구 양재동 230",1,"서울특별시","서초구","양재동","CHICKEN",37.46277297,127.0438513,1,"일반상점"
13540678,"서울특별시 서초구 방배동 441-1",1,"서울특별시","서초구","방배동","CAFE",37.48038094,126.982162,1,"근린생활시설"
13547005,"서울특별시 서초구 반포동 107-2",1,"서울특별시","서초구","반포동","WESTERN",37.49907347,126.9968824,1,"근린생활시설"
13550657,"서울특별시 서초구 방배동 437-14",1,"서울특별시","서초구","방배동","CAFE",37.48257515,126.9837451,1,"교육시설"
