Latitude,Longitude,Address
37.49301897,127.0162697,서울특별시 서초구 서초동 1669-3
37.47785354,126.9873005,서울특별시 서초구 방배동 475-20
37.49590962,127.0145052,서울특별시 서초구 서초동 1698-11
37.51423877,127.0186022,서울특별시 서초구 잠원동 26-10
37.48213098,126.9960774,서울특별시 서초구 방배동 911-19
37.49363006,127.0192972,서울특별시 서초구 서초동 1640-8
37.491908,127.0169641,서울특별시 서초구 서초동 1642-1
37.49404607,126.9852169,서울특별시 서초구 방배동 767-21
37.50365652,127.0106032,서울특별시 서초구 반포동 57-4
37.48090894,126.998355,서울특별시 서초구 방배동 983-1
37.49443542,127.0132421,서울특별시 서초구 서초동 1714-19
37.48924158,127.0135756,서울특별시 서초구 서초동 1565-7
37.48232543,126.9973828,서울특별시 서초구 방배동 908-8
37.47627143,127.0449342,서울특별시 서초구 양재동 276-10
37.48457491,126.9834118,서울특별시 서초구 방배동 425-1
37.49185263,127.0271576,서울특별시 서초구 서초동 1755-1
37.48285312,126.9959662,서울특별시 서초구 방배동 910-2
37.48279755,126.9949108,서울특별시 서초구 방배동 922-15
37.49526874,127.018075,서울특별시 서초구 서초동 1689-3
37.48121449,126.9999104,서울특별시 서초구 방배동 985-5
37.48721354,126.9858282,서울특별시 서초구 방배동 864-37
37.48432587,127.0351571,서울특별시 서초구 양재동 12-3
37.50668414,127.021491,서울특별시 서초구 반포동 734-6
37.48496377,126.9839117,서울특별시 서초구 방배동 421-3
37.51573857,127.01738,서울특별시 서초구 잠원동 15-4
37.49857406,127.0261853,서울특별시 서초구 서초동 1317-11
37.49157466,127.0145199,서울특별시 서초구 서초동 1656-4
37.50104572,127.0112143,서울특별시 서초구 반포동 50-5
37.48604713,126.9925776,서울특별시 서초구 방배동 938-24
37.49238012,127.0142143,서울특별시 서초구 서초동 1657-5
37.48174215,126.996744,서울특별시 서초구 방배동 909-11
37.46954993,127.0416847,서울특별시 서초구 양재동 333
37.4929078,127.0121867,서울특별시 서초구 서초동 1572-6
37.48601919,126.9830784,서울특별시 서초구 방배동 3001-2
37.48629776,127.0294631,서울특별시 서초구 서초동 1359-43
37.49157462,127.0122145,서울특별시 서초구 서초동 1570-2
37.49346335,127.0154086,서울특별시 서초구 서초동 1671-5
37.50829507,127.0216854,서울특별시 서초구 반포동 724-14
37.48749124,126.9832173,서울특별시 서초구 방배동 1459
37.49793525,127.0264908,서울특별시 서초구 서초동 1317-20
37.49307447,127.0134644,서울특별시 서초구 서초동 1573-10
37.49785144,126.9993544,서울특별시 서초구 반포동 72-8
37.51573857,127.0173245,서울특별시 서초구 잠원동 15-4
37.5037992,127.0211986,서울특별시 서초구 반포동 746-9
37.49087105,127.0056309,서울특별시 서초구 서초동 1499-17
37.4710217,127.0259638,서울특별시 서초구 우면동 67
37.49313028,127.0282408,서울특별시 서초구 서초동 1330-6
37.50554512,127.0067146,서울특별시 서초구 반포동 19-4
37.48371488,127.0378235,서울특별시 서초구 양재동 11-87
37.49854627,127.0257131,서울특별시 서초구 서초동 1317-32
37.4776868,126.9822176,서울특별시 서초구 방배동 444-3
37.49471317,127.0137421,서울특별시 서초구 서초동 1694-17
37.50855776,127.0117557,서울특별시 서초구 잠원동 58-24
37.49279699,127.0285463,서울특별시 서초구 서초동 1330-9
37.50142,127.0242107,서울특별시 서초구 서초동 1308
37.50318458,127.0235187,서울특별시 서초구 서초동 1303-10
37.50610056,127.0036871,서울특별시 서초구 잠원동 75-19
37.469586,127.0417,서울특별시 서초구 양재동 333
37.48938007,126.9921331,서울특별시 서초구 방배동 852-21
37.49526867,127.0140476,서울특별시 서초구 서초동 1694-6
37.49776808,126.9975212,서울특별시 서초구 반포동 104-4
