shop_no,addr,floor,rgn1_nm,rgn2_nm,rgn3_nm,shop_category,latitude,longitude,PICK
13633459,서울특별시 서초구 반포동 2-8,2,서울특별시,서초구,반포동,CAFE,37.50540603,126.99452129,1
13650074,서울특별시 서초구 양재동 279,1,서울특별시,서초구,양재동,MEAT,37.47596591,127.04487865,1
13653203,서울특별시 서초구 서초동 1677-8,1,서울특별시,서초구,서초동,BAEKBAN,37.49479658,127.01860273,1
13657737,서울특별시 서초구 서초동 1309-1,2,서울특별시,서초구,서초동,ASIAN,37.50204584,127.02399092,1
13677577,서울특별시 서초구 방배동 1022-3,1,서울특별시,서초구,방배동,CAFE,37.47935359,126.99946602,1
13688234,서울특별시 서초구 신반포로 213,-1,서울특별시,서초구,잠원동,CHINESE,37.50726715,127.00727008,1
13701105,서울특별시 서초구 청두곶4길 1-5,1,서울특별시,서초구,방배동,ZZIM_TANG,37.47904781,126.98541175,1
13708198,서울특별시 서초구 강남대로 156-2,1,서울특별시,서초구,양재동,CAFE,37.47857661,127.03907355,1
13713111,서울특별시 서초구 신반포로 194,1,서울특별시,서초구,반포동,WESTERN,37.50551735,127.0067424,1
13731102,서울특별시 서초구 동광로 8,1,서울특별시,서초구,방배동,BAEKBAN,37.49074087,126.98368936,1
13733406,서울특별시 서초구 신반포로47길 93,1,서울특별시,서초구,잠원동,CHINESE,37.51443319,127.0187966,1
13745490,서울특별시 서초구 방배로 269,1,서울특별시,서초구,방배동,PIZZA,37.49665692,126.98774438,1
13770622,서울특별시 서초구 동산로2길 13,1,서울특별시,서초구,양재동,MEAT,37.46921664,127.04204577,1
13772591,서울특별시 서초구 강남대로37길 26,1,서울특별시,서초구,서초동,BAEKBAN,37.48494345754072,127.0321671109262,1
13783510,서울특별시 서초구 서초대로77길 35,1,서울특별시,서초구,서초동,CAFE,37.50082378,127.02526862,1
13794099,서울특별시 서초구 잠원로 51,-1,서울특별시,서초구,잠원동,CAFE,37.50923915,127.00743667,1
13795956,서울특별시 서초구 방배천로2안길 110,1,서울특별시,서초구,방배동,JOKBAL,37.48182525,126.98421734,1
13468065,서울특별시 서초구 강남대로47길 30,1,서울특별시,서초구,서초동,JAPANESE,37.48857529,127.03001854,1
13476572,서울특별시 서초구 반포동 57-5,-1,서울특별시,서초구,반포동,BAEKBAN,37.50348987,127.01068654,1
13477135,서울 서초구 방배동 455-2,1,서울특별시,서초구,방배동,CAFE,37.48204742,126.98293967,1
13491658,서울특별시 서초구 반포동 91-6,2,서울특별시,서초구,반포동,ASIAN,37.4978792,126.99885444,1
13497256,서울특별시 서초구 서운로 138,-1,서울특별시,서초구,서초동,BAEKBAN,37.49599101,127.02524098,1
13504948,서울특별시 서초구 강남대로 375,1,서울특별시,서초구,서초동,SNACK,37.49635212,127.02785185,1
13504971,서울특별시 서초구 방배동 443-4,4,서울특별시,서초구,방배동,ASIAN,37.47843672,126.98224539,1
13509734,서울특별시 서초구 서초동 1695-26,1,서울특별시,서초구,서초동,WESTERN,37.49487983,127.01465864,1
13511423,서울특별시 서초구 서초동 1302-52,1,서울특별시,서초구,서초동,ZZIM_TANG,37.50360119,127.02262989,1
13522624,서울특별시 서초구 반포동 19-4,1,서울특별시,서초구,반포동,CAFE,37.50548958,127.00702015,1
13525105,서울특별시 서초구 양재동 230,1,서울특별시,서초구,양재동,CAFE,37.46277297,127.04385134,1
13525203,서울특별시 서초구 서초동 1330-4,0,서울특별시,서초구,서초동,CAFE,37.49349135,127.02807413,1
13535485,서울특별시 서초구 사평대로2길 22,1,서울특별시,서초구,방배동,SNACK,37.49771232,126.9856612,1
13548490,서울특별시 서초구 방배동 751-4,1,서울특별시,서초구,방배동,CHICKEN,37.49768454,126.98538345,1
13554839,서울특별시 서초구 서초동 1321-6,1,서울특별시,서초구,서초동,WESTERN,37.49599101,127.02524098,1
13557684,서울특별시 서초구 마방로10길 47,1,서울특별시,서초구,양재동,CHICKEN,37.47585481,127.0448231,1
13566406,서울특별시 서초구 반포동 738,2,서울특별시,서초구,반포동,CHINESE,37.50587869,127.02218543,1
13567135,서울특별시 서초구 양재동 120-11,1,서울특별시,서초구,양재동,CAFE,37.47532694,127.03640722,1
13568268,서울특별시 서초구 사임당로 158,1,서울특별시,서초구,서초동,SNACK,37.49176440225881,127.0270049644086,1
13582953,서울특별시 서초구 반포동 19-4,1,서울특별시,서초구,반포동,SNACK,37.50548958,127.00704793,1
13586350,서울특별시 서초구 양재동 276-1,1,서울특별시,서초구,양재동,ZZIM_TANG,37.47624365,127.04454534,1
13595386,서울특별시 서초구 서초동 1308-15,1,서울특별시,서초구,서초동,MEAT,37.500511,127.024959,1
13602451,서울특별시 서초구 반포동 739-2,1,서울특별시,서초구,반포동,ZZIM_TANG,37.505604,127.021896,1
13619169,서울특별시 서초구 양재동 338,1,서울특별시,서초구,양재동,JAPANESE,37.46957771,127.04232351,1
13622442,서울특별시 서초구 양재동 279-6,1,서울특별시,서초구,양재동,CHINESE,37.4753271,127.04554527,1
13636120,서울특별시 서초구 서초동 1308-10,3,서울특별시,서초구,서초동,JAPANESE,37.50096265,127.02507419,1
13641204,서울특별시 서초구 방배동 448-21,1,서울특별시,서초구,방배동,ZZIM_TANG,37.47693693,126.98460633,1
13659762,서울특별시 서초구 서초동 1642-1,1,서울특별시,서초구,서초동,CAFE,37.49196355,127.01696407,1
13670857,서울특별시 서초구 반포동 59-14,1,서울특별시,서초구,반포동,JAPANESE,37.503681,127.009047,1
13675748,서울특별시 서초구 서초중앙로24길 5,1,서울특별시,서초구,서초동,CAFE,37.49468541,127.0142698,1
13681078,서울특별시 서초구 강남대로 331,1,서울특별시,서초구,서초동,CAFE,37.49263036,127.02957402,1
13682428,서울특별시 서초구 잠원동 14-13,0,서울특별시,서초구,잠원동,SNACK,37.51593301,127.01846326,1
13725485,서울특별시 서초구 동작대로 56,1,서울특별시,서초구,방배동,JAPANESE,37.48151969,126.9822453,1
