"Latitude","Longitude","Address","건물용도명","지상층수_max","지하층수_min","주용도코드명","건물용도명_2"
37.4982661,127.0145143,"서울특별시 서초구 서초동 1685","아파트",15,1,"공동주택","아파트"
37.48860223,126.9838561,"서울특별시 서초구 방배동 1344","아파트",20,0,"공동주택","아파트"
37.4850755,127.0191863,"서울특별시 서초구 서초동 1444-3","아파트",12,2,NA,"아파트"
37.47710363,126.9873283,"서울특별시 서초구 방배동 477-11",NA,NA,NA,"공동주택","공동주택"
37.47338286,127.0441288,"서울특별시 서초구 양재동 307-7","공동주택",5,0,NA,"공동주택"
37.49726859,127.0225745,"서울특별시 서초구 서초동 1315","아파트",15,1,"공동주택","아파트"
37.49499039,126.9843003,"서울특별시 서초구 방배동 766-4","공동주택",5,0,NA,"공동주택"
37.48404781,127.0173532,"서울특별시 서초구 서초동 1445-13","아파트",21,6,NA,"아파트"
37.48790841,127.0137978,"서울특별시 서초구 서초동 1597-6",NA,NA,NA,NA,NA
37.48757448,126.9786899,"서울특별시 동작구 사당동 105","아파트",20,1,"공동주택","아파트"
37.496991,127.0315737,"서울특별시 강남구 역삼동 827-50",NA,NA,NA,NA,NA
37.5034901,127.023241,"서울특별시 서초구 서초동 1303-7",NA,NA,NA,NA,NA
37.4871138,126.9779604,"서울특별시 동작구 사당동 105","아파트",20,1,"공동주택","아파트"
37.50118434,126.996799,"서울특별시 서초구 반포동 16-6",NA,NA,NA,"공동주택","공동주택"
37.49771047,127.0331718,"서울특별시 강남구 역삼동 858-17",NA,NA,NA,NA,NA
37.4852979,127.0307963,"서울특별시 서초구 서초동 1364-35",NA,NA,NA,NA,NA
37.49165953,127.0340903,"서울특별시 강남구 역삼동 836-63","공동주택",4,1,NA,"공동주택"
37.48615794,127.0270799,"서울특별시 서초구 서초동 1349-18","공동주택",3,1,NA,"공동주택"
37.47482714,127.0443787,"서울특별시 서초구 양재동 272-2","공동주택",5,0,NA,"공동주택"
37.49249082,126.9920219,"서울특별시 서초구 방배동 809-17","아파트",6,1,NA,"아파트"
37.49879612,127.0186026,"서울특별시 서초구 서초동 1682","아파트",27,0,"공동주택","아파트"
37.49543502,126.9975769,"서울특별시 서초구 반포동 98-7","아파트",6,1,NA,"아파트"
37.49865678,126.9927161,"서울특별시 서초구 반포동 114-1",NA,NA,NA,NA,NA
37.47943663,126.9836897,"서울특별시 서초구 방배동 454-19","근린생활시설",4,1,NA,"근린생활시설"
37.50207295,126.986911,"서울특별시 서초구 반포동 1313","일반상점",6,5,NA,"일반상점"
37.47801992,126.9722185,"서울특별시 동작구 사당동 303-30","근린생활시설",5,1,NA,"근린생활시설"
37.52018248,127.0164911,"서울특별시 서초구 잠원동 50","아파트",25,1,NA,"아파트"
37.4880016,127.0171694,"서울특별시 서초구 서초동 1744-2",NA,NA,NA,NA,NA
37.47860345,126.9869394,"서울특별시 서초구 방배동 528-9","공동주택",1,0,NA,"공동주택"
37.48565834,126.9957995,"서울특별시 서초구 방배동 902-32",NA,NA,NA,NA,NA
37.51262376,126.9984165,"서울특별시 서초구 반포동 649-1",NA,NA,NA,NA,NA
37.48279832,127.0376569,"서울특별시 서초구 양재동 10-25",NA,NA,NA,NA,NA
37.5036288,127.0134918,"서울특별시 서초구 반포동 30-26",NA,NA,NA,"공동주택","공동주택"
37.5031023,126.9990727,"서울특별시 서초구 반포동 18-1","아파트",32,0,"공동주택","아파트"
37.49868455,126.9925494,"서울특별시 서초구 반포동 114-1",NA,NA,NA,NA,NA
37.51807363,127.0275932,"서울특별시 강남구 논현동 9-18",NA,NA,NA,NA,NA
37.50679481,126.9972988,"서울특별시 서초구 반포동 1-1","아파트",12,1,NA,"아파트"
37.49218599,127.030935,"서울특별시 강남구 역삼동 832-5","일반상점",22,6,NA,"일반상점"
37.48260311,126.9939664,"서울특별시 서초구 방배동 921-24","공동주택",4,1,NA,"공동주택"
37.49851848,127.0247132,"서울특별시 서초구 서초동 1316-17","업무시설",12,5,NA,"업무시설"
37.5236003,127.0203193,"서울특별시 강남구 압구정동 408",NA,NA,NA,NA,NA
37.48598217,126.9838032,"서울특별시 서초구 방배동 866-10",NA,NA,NA,"공동주택","공동주택"
37.49712903,126.9845224,"서울특별시 서초구 방배동 754-1","아파트",29,3,NA,"아파트"
37.493095,127.0274789,"서울특별시 서초구 서초동 1754",NA,NA,NA,"공동주택","공동주택"
37.48771383,127.0051875,"서울특별시 서초구 서초동 1507-5","공동주택",5,0,NA,"공동주택"
37.49771223,126.9808561,"서울특별시 동작구 동작동 332","아파트",15,0,"공동주택","아파트"
37.47782609,127.0054377,"서울특별시 서초구 방배동 1008-2","아파트",24,0,"공동주택","아파트"
37.51096183,127.0442666,"서울특별시 강남구 삼성동 37-3","공동주택",3,1,NA,"공동주택"
